,_runtime,_timestamp,charts/beta,global_step,losses/td_loss,charts/episodic_length,charts/SPS,_step,losses/q_values,charts/episodic_return
0,191.385859844,1753995899.7978864,,43627.0,,190.0,,655,,-21.0
1,480.945517772,1753996172.9505801,,92954.0,,,,2018,,-21.0
2,545.968549419,1753996252.1148958,,102023.0,,190.0,,2518,,
3,578.737361233,1753996287.1494434,,106178.0,,193.0,,2699,,-21.0
4,595.981202338,1753996298.1664295,,107500.0,,,183.0,2827,,
5,681.005235082,1753996373.0410135,0.406978,116300.0,,,,3327,,
6,736.02269305,1753996430.0990372,,123000.0,2.931841,,,3696,,
7,736.022827756,1753996431.2818317,,123100.0,,,170.0,3704,,
8,751.02741656,1753996449.2224586,,125200.0,,,,3818,-1.6835465,
9,921.077326725,1753996620.5877333,,145200.0,,,159.0,4913,,
10,1231.17035883,1753996933.214484,,181700.0,3.4037137,,,6838,,
11,1521.251469892,1753997223.3737051,,216400.0,3.3080254,,,8599,,
12,1591.287112152,1753997295.5359077,0.413512,225200.0,,,,9049,,
13,1711.473847134,1753997404.1364477,,238465.0,,311.0,,9709,,
14,1736.482961807,1753997437.6162274,,242600.0,,,,9906,-4.269696,
15,1961.547572797,1753997661.2038777,,270200.0,,,138.0,11266,,
16,2111.613083483,1753997813.7751844,,289100.0,3.0095584,,,12184,,
17,2481.982195789,1753998178.1993825,,334200.0,,,,14360,-4.3847437,
18,2818.42642107,1753998512.4269001,,368700.0,,,,16013,-4.3590403,
19,3194.996207495,1753998890.315543,,408900.0,,,,17927,-4.468363,
20,3210.00115291,1753998908.7466648,,411100.0,,,128.0,18030,,
21,3255.017160336,1753998960.4749644,,417400.0,,,128.0,18328,,
22,3420.068323048,1753999121.0359225,,436900.0,2.5992184,,,19248,,
23,3540.100356921,1753999242.4035628,,451800.0,,,127.0,19945,,
24,3630.122247048,1753999334.8895938,,463600.0,,,,20493,-4.7384753,
25,3750.156529699,1753999444.1199992,,477500.0,,,,21142,-4.3451276,
26,3855.187776491,1753999552.779437,,491100.0,,,,21772,-4.2591395,
27,3855.189182524,1753999559.2694523,,491962.0,,,,21809,,-19.0
28,3870.194612324,1753999573.0706592,,493700.0,2.706529,,,21889,,
29,4020.239504347,1753999720.1114979,,512400.0,2.6441915,,,22758,,
30,4150.2746688,1753999846.329911,,528800.0,,,,23523,-4.0304394,
31,4310.324714267,1754000016.8600821,0.433048,550800.0,,,,24534,,
