,charts/SPS,charts/beta,charts/episodic_length,charts/episodic_return,_timestamp,losses/td_loss,_step,global_step,_runtime,losses/q_values
0,,0.5510861,,,1754425255.5013285,,1528,84200.0,406.349665776,
1,,,303.0,-21.0,1754425622.4060667,,3525,122780.0,758.097756472,
2,,,,,1754426011.0773575,,5649,164800.0,1162.011373929,-0.46288744
3,,,,,1754426095.6254308,,6089,173900.0,1237.109062116,-0.4750193
4,,,,,1754426273.611056,,6975,192500.0,1422.19015714,-0.42942968
5,,,364.0,,1754426279.072831,,7001,193088.0,1422.191692454,
6,,,,,1754426406.0656903,,7622,206100.0,1562.247427497,-0.40420607
7,,,,,1754426434.3435957,3.7805662,7758,209100.0,1582.255989348,
8,,,,,1754426532.1861975,,8258,219600.0,1672.304655759,-0.4775201
9,,,,,1754426552.9444728,3.353403,8362,221800.0,1702.311380688,
10,,,,-20.0,1754426567.7040527,,8436,223377.0,1717.317049685,
11,,,,,1754426623.3061051,3.7711902,8711,229300.0,1762.332556111,
12,,,402.0,-19.0,1754426687.2099216,,9018,236412.0,1822.901198477,
13,,,,,1754426920.0900588,,10233,261700.0,2057.463043279,-0.6179844
14,,0.5596019,,,1754427016.2322955,,10730,272300.0,2162.519117198,
15,,,,,1754427210.0689929,,11703,293500.0,2362.595616202,-0.63970256
16,125.0,,,,1754427231.765918,,11813,295900.0,2377.604499403,
17,,,,,1754427560.294571,,13433,331700.0,2707.763789411,-0.62528586
18,122.0,,,,1754427709.498621,,14157,347800.0,2862.845482176,
19,,0.56551903,,,1754428213.8163993,,16631,403000.0,3358.057146108,
20,,,,,1754428571.0641313,3.661633,18337,441800.0,3723.193408039,
21,,0.5673209,,,1754428579.8502233,,18384,442800.0,3723.196517373,
22,,0.5676514,,,1754428646.632738,,18701,450100.0,3788.369631283,
23,,,,,1754428905.3995879,3.624573,19956,478800.0,4043.499978887,
24,,,,,1754429035.9543896,3.63321,20578,493100.0,4183.556669365,
25,,0.5702319,,,1754429161.5539796,,21191,507100.0,4303.675398018,
26,,,,,1754429190.4108372,,21326,510200.0,4343.693251501,-0.7487229
27,,,,,1754429201.7337134,,21376,511400.0,4343.697002885,-0.63077366
28,,,,,1754429257.7633824,,21645,517600.0,4408.719317033,-0.54378664
29,,,923.0,-9.0,1754429284.7963908,,21701,520582.0,4420.487631979,
30,,,,,1754429310.8249943,,21892,523400.0,4458.744436163,-0.57996356
31,,0.57148594,,,1754429416.9180818,,22386,534800.0,4563.803403496,
32,,,,,1754429429.9341176,3.5905137,22443,536200.0,4578.807307526,
33,,,,,1754429609.3831081,3.594882,23296,556000.0,4748.905961598,
34,,,,,1754429859.2437334,3.5490677,24460,582900.0,5009.013153684,
35,116.0,,,,1754429940.7614331,,24837,591700.0,5079.042702532,
36,116.0,,,,1754429991.2490685,,25066,597100.0,5129.063943842,
37,,0.57523,,,1754430175.1845827,,25940,617500.0,5319.253454333,
38,,,,,1754430238.8276613,3.5320075,26243,624700.0,5384.281208378,
39,,,,,1754430705.5191114,3.4874077,28406,675400.0,5849.750035961,
40,,,,,1754430875.40472,3.4852877,29214,694400.0,6019.820946165,
41,115.0,,,,1754431082.3423707,,30184,717100.0,6224.90507468,
42,115.0,,,,1754431703.4036174,,33086,785300.0,6840.168603173,
43,,0.5833836,,,1754431815.693481,,33612,797600.0,6965.234489843,
44,,,,,1754431821.7278533,3.3745487,33637,798300.0,6965.238777279,
45,114.0,,,,1754432144.5386028,,35137,833500.0,7290.388466564,
46,,0.58586,,,1754432320.02757,,35937,852300.0,7460.461968895,
47,114.0,,,,1754432371.2543502,,36165,857700.0,7515.483872964,
48,,0.5861543,,,1754432381.5431886,,36213,858800.0,7530.487493983,
49,114.0,,,,1754432721.5893562,,37771,895600.0,7870.666259225,
50,,0.58782935,,,1754432723.8667464,,37780,895800.0,7870.66695376,
51,,0.5885809,,,1754432875.5507324,,38487,912400.0,8025.723067331,
52,,,,,1754433003.660501,3.3429198,39087,926600.0,8145.773859898,
53,113.0,,,,1754433026.9269485,,39196,929100.0,8180.782374117,
54,113.0,,,,1754433055.0411475,,39328,932200.0,8200.795249861,
55,,,,,1754433324.6084783,3.351601,40560,961300.0,8475.908016449,
56,,,,6.0,1754433674.041357,,42177,999405.0,8816.065758428,
57,,,,,1754433759.9598398,,42570,1008700.0,8901.117857622,-0.36586714
58,,,,,1754434244.3978822,,44809,1061500.0,9396.330131539,-0.2708335
59,,,,,1754434390.8359342,3.2017517,45478,1077300.0,9536.389017345,
60,,0.59633154,,,1754434449.2070243,,45748,1083600.0,9591.711754958,
61,,,,,1754434478.9483654,,45886,1086900.0,9621.721668074,-0.1605433
62,,,,,1754434513.7039623,3.2833397,46044,1090700.0,9656.73364437,
63,113.0,,,,1754434668.9929824,,46767,1107700.0,9806.800486398,
64,,,,,1754434903.248203,3.1098816,47857,1133400.0,10046.901507477,
65,,,1140.0,,1754434938.158666,,48031,1137449.0,10081.929284401,
66,,,,,1754435011.2763398,,48376,1145600.0,10151.959395529,-0.25596768
67,,,,,1754435036.3499174,,48495,1148400.0,10186.974143792,-0.12857613
68,,,,,1754435230.5842273,,49411,1169900.0,10377.07969696,-0.17113842
69,,,,,1754435472.4440935,3.1752012,50536,1196400.0,10617.194376711,
70,112.0,,,,1754435498.308797,,50661,1199300.0,10647.205213857,
71,,0.6023392,,,1754435649.6168997,,51383,1216300.0,10802.270795465,
72,,,,,1754435651.2178319,,51389,1216500.0,10802.270929368,-0.07806144
73,,0.60274667,,,1754435730.0475082,,51763,1225300.0,10872.298775212,
74,,,,,1754435858.8555455,3.1902702,52371,1239700.0,11012.356307774,
75,,,,,1754435948.3928888,,52771,1249100.0,11097.390920657,-0.0648724
76,,0.6043493,,,1754436055.2002635,,53267,1260700.0,11202.439875837,
77,,0.60518235,,,1754436222.1584709,,54048,1279100.0,11367.513487414,
78,112.0,,,,1754436320.6457999,,54506,1289900.0,11472.557892266,
79,,0.60571206,,,1754436329.3364732,,54543,1290800.0,11472.560153642,
80,,,1271.0,,1754436388.0768425,,54813,1297175.0,11542.587002441,
81,112.0,,,,1754436503.5606892,,55336,1309400.0,11642.629879843,
82,,,,,1754436506.257876,,55347,1309700.0,11642.630100551,-0.20332867
83,,0.6071562,,,1754436629.0430014,,55901,1322700.0,11782.699457776,
84,,,,,1754436863.7544942,,56984,1348300.0,12002.801757094,-0.053169534
85,112.0,,,,1754437021.1924121,,57700,1365200.0,12157.867189985,
86,,,,,1754437074.235714,,57944,1370900.0,12227.890640193,-0.2432903
87,112.0,,,,1754437074.2373796,,57945,1370900.0,12227.890661665,
88,112.0,,,,1754437118.2332377,,58144,1375600.0,12262.907210763,
89,,,,,1754437204.2075539,3.0540571,58527,1384700.0,12347.941912835,
90,,,,,1754437530.7910774,,60015,1419700.0,12673.096188971,-0.07691336
91,112.0,,,,1754437578.6968794,,60232,1424800.0,12723.113451378,
92,112.0,,,,1754437829.9134429,,61388,1452100.0,12983.214121014,
93,,,,,1754437865.6785038,2.6746366,61543,1455800.0,13018.248177571,
94,,,,,1754437891.503748,,61661,1458600.0,13033.256403751,-0.15601346
95,,,,,1754438080.0109262,3.024067,62519,1478800.0,13223.330310848,
96,,,,,1754438102.8937302,2.9767377,62622,1481200.0,13258.337034782,
97,,,,,1754438514.5693784,,64513,1525700.0,13668.553933079,-0.021732777
98,111.0,,,,1754438526.0419688,,64568,1527000.0,13668.556711164,
99,,,,,1754438665.8008544,,65211,1542200.0,13803.616794541,-0.07100814
100,111.0,,,,1754438834.178884,,66005,1560800.0,13978.687550596,
101,,,,,1754438860.3043673,,66129,1563700.0,14008.694870284,0.009036578
102,,,,,1754438949.5334523,,66556,1573700.0,14093.732770174,0.09213629
103,,,1246.0,1.0,1754439195.447726,,67637,1600728.0,14331.139139475,
104,,,,,1754439339.1814172,2.8789427,68371,1616300.0,14493.969862071,
105,,,,,1754439402.8320844,2.0754921,68667,1623300.0,14543.993119596,
106,,,,,1754439874.7002332,,70910,1675800.0,15019.222839364,0.169014
107,,,,,1754439933.5187333,,71189,1682300.0,15089.247196102,-0.014950488
108,111.0,,,,1754439974.9470267,,71385,1686900.0,15124.271143183,
109,111.0,,,,1754439979.998508,,71405,1687400.0,15124.272231578,
110,,,,,1754440027.3865454,,71635,1692800.0,15174.291989609,0.06605895
111,,,,13.0,1754440045.0133438,,71717,1694719.0,15189.296179364,
112,,,,,1754440175.0584857,,72331,1709200.0,15329.362585123,0.13035521
113,,,,,1754440200.9458158,,72455,1712100.0,15344.369617351,-0.05536706
114,,,,,1754440212.0108685,,72507,1713300.0,15364.375244533,0.18909526
