"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_return","DQN - charts/episodic_return__MIN","DQN - charts/episodic_return__MAX"
"187","33","33","33","-21","-21","-21","","","","","",""
"233","","","","","","","0","0","0","-21","-21","-21"
"372","18","1","35","-21","-21","-21","","","","","",""
"555","37","37","37","-21","-21","-21","","","","","",""
"649","","","","","","","20","2","38","-21","-21","-21"
"876","","","","","","","21.5","3","40","-21","-21","-21"
"934","4","4","4","-21","-21","-21","","","","","",""
"1112","","","","","","","4","4","4","-20","-20","-20"
"1308","6","6","6","-21","-21","-21","","","","","",""
"1496","47","47","47","-21","-21","-21","","","","","",""
"1508","","","","","","","46","46","46","-21","-21","-21"
"1686","8","8","8","-21","-21","-21","","","","","",""
"1705","","","","","","","48","48","48","-21","-21","-21"
"1948","","","","","","","29","8","50","-21","-21","-21"
"2057","53","53","53","-21","-21","-21","","","","","",""
"2174","","","","","","","52","52","52","-21","-21","-21"
"2240","33","11","55","-21","-21","-21","","","","","",""
"2372","","","","","","","54","54","54","-21","-21","-21"
"2562","","","","","","","56","56","56","-21","-21","-21"
"2612","36","13","59","-21","-21","-21","","","","","",""
"2765","","","","","","","35","12","58","-21","-21","-21"
"2986","15","15","15","-21","-21","-21","","","","","",""
"3003","","","","","","","13","13","13","-19","-19","-19"
"3169","16","16","16","-21","-21","-21","","","","","",""
"3216","","","","","","","62","62","62","-20","-20","-20"
"3358","17","17","17","-21","-21","-21","","","","","",""
"3405","","","","","","","15","15","15","-21","-21","-21"
"3544","43.5","18","69","-21","-21","-21","","","","","",""
"3845","","","","","","","68","68","68","-21","-21","-21"
"4039","","","","","","","44","18","70","-21","-21","-21"
"4272","","","","","","","19","19","19","-19","-19","-19"
"4481","23","23","23","-21","-21","-21","","","","","",""
"4655","","","","","","","76","76","76","-21","-21","-21"
"4854","83","83","83","-21","-21","-21","","","","","",""
"4865","","","","","","","22","22","22","-21","-21","-21"
"5054","","","","","","","23","23","23","-21","-21","-21"
"5231","57","27","87","-21","-21","-21","","","","","",""
"5271","","","","","","","82","82","82","-21","-21","-21"
"5414","28","28","28","-21","-21","-21","","","","","",""
"5476","","","","","","","25","25","25","-21","-21","-21"
"5597","75.5","29","122","-21","-21","-21","","","","","",""
"5702","","","","","","","86","86","86","-21","-21","-21"
"5781","77","30","124","-21","-21","-21","","","","","",""
"5919","","","","","","","88","88","88","-21","-21","-21"
"6102","","","","","","","59","28","90","-21","-21","-21"
"6153","80","32","128","-21","-21","-21","","","","","",""
