"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"187","17","0","34","188","188","188","","","","","",""
"233","","","","","","","0","0","0","234","234","234"
"372","36","36","36","185","185","185","","","","","",""
"555","2","2","2","183","183","183","","","","","",""
"744","40","40","40","189","189","189","","","","","",""
"876","","","","","","","3","3","3","227","227","227"
"934","42","42","42","190","190","190","","","","","",""
"1112","","","","","","","43","43","43","236","236","236"
"1308","6","6","6","187","187","187","","","","","",""
"1496","27.5","7","48","188","188","188","","","","","",""
"1508","","","","","","","6","6","6","209","209","209"
"1686","29","8","50","190","190","190","","","","","",""
"1705","","","","","","","7","7","7","197","197","197"
"1874","30.5","9","52","188","188","188","","","","","",""
"1948","","","","","","","29.5","8","51","243","243","243"
"2174","","","","","","","9","9","9","226","226","226"
"2372","","","","","","","32.5","10","55","198","198","198"
"2427","35","12","58","187","187","187","","","","","",""
"2562","","","","","","","34","11","57","190","190","190"
"2612","60","60","60","185","185","185","","","","","",""
"2765","","","","","","","59","59","59","203","203","203"
"2802","62","62","62","190","190","190","","","","","",""
"2986","15","15","15","184","184","184","","","","","",""
"3003","","","","","","","61","61","61","238","238","238"
"3169","66","66","66","183","183","183","","","","","",""
"3544","44","18","70","186","186","186","","","","","",""
"3610","","","","","","","16","16","16","205","205","205"
"3845","","","","","","","69","69","69","235","235","235"
"3919","20","20","20","189","189","189","","","","","",""
"4039","","","","","","","18","18","18","194","194","194"
"4292","22","22","22","190","190","190","","","","","",""
"4472","","","","","","","75","75","75","200","200","200"
"4481","80","80","80","189","189","189","","","","","",""
"4655","","","","","","","77","77","77","183","183","183"
"4664","82","82","82","183","183","183","","","","","",""
"4865","","","","","","","79","79","79","210","210","210"
"5054","","","","","","","52","23","81","189","189","189"
"5231","73","27","119","187","187","187","","","","","",""
"5271","","","","","","","24","24","24","217","217","217"
"5414","28","28","28","183","183","183","","","","","",""
"5476","","","","","","","85","85","85","205","205","205"
"5597","123","123","123","183","183","183","","","","","",""
"5702","","","","","","","56.5","26","87","226","226","226"
"5781","125","125","125","184","184","184","","","","","",""
"5919","","","","","","","89","89","89","217","217","217"
"5969","127","127","127","188","188","188","","","","","",""
"6102","","","","","","","28","28","28","183","183","183"
"6153","129","129","129","184","184","184","","","","","",""
"6300","","","","","","","29","29","29","198","198","198"
"6337","131","131","131","184","184","184","","","","","",""
"6499","","","","","","","81","30","132","199","199","199"
"6524","133","133","133","187","187","187","","","","","",""
"6713","90","90","90","189","189","189","","","","","",""
"6897","","","","","","","32","32","32","203","203","203"
"6898","91","91","91","185","185","185","","","","","",""
"7083","139","139","139","185","185","185","","","","","",""
"7112","","","","","","","33","33","33","215","215","215"
"7272","141","141","141","189","189","189","","","","","",""
"7319","","","","","","","91","91","91","207","207","207"
"7462","118.5","94","143","190","190","190","","","","","",""
"7531","","","","","","","142","142","142","212","212","212"
"7650","95","95","95","188","188","188","","","","","",""
"7750","","","","","","","93","93","93","219","219","219"
"7835","121.5","96","147","185","185","185","","","","","",""
"7950","","","","","","","94","94","94","200","200","200"
"8018","123","97","149","183","183","183","","","","","",""
"8146","","","","","","","121.5","95","148","196","196","196"
