"global_step","rainbow_dqn_sweep_config4 - _step","rainbow_dqn_sweep_config4 - _step__MIN","rainbow_dqn_sweep_config4 - _step__MAX","rainbow_dqn_sweep_config4 - charts/episodic_return","rainbow_dqn_sweep_config4 - charts/episodic_return__MIN","rainbow_dqn_sweep_config4 - charts/episodic_return__MAX","rainbow_dqn_sweep_config3 - _step","rainbow_dqn_sweep_config3 - _step__MIN","rainbow_dqn_sweep_config3 - _step__MAX","rainbow_dqn_sweep_config3 - charts/episodic_return","rainbow_dqn_sweep_config3 - charts/episodic_return__MIN","rainbow_dqn_sweep_config3 - charts/episodic_return__MAX","rainbow_dqn_sweep_config2 - _step","rainbow_dqn_sweep_config2 - _step__MIN","rainbow_dqn_sweep_config2 - _step__MAX","rainbow_dqn_sweep_config2 - charts/episodic_return","rainbow_dqn_sweep_config2 - charts/episodic_return__MIN","rainbow_dqn_sweep_config2 - charts/episodic_return__MAX","rainbow_dqn_sweep_config1 - _step","rainbow_dqn_sweep_config1 - _step__MIN","rainbow_dqn_sweep_config1 - _step__MAX","rainbow_dqn_sweep_config1 - charts/episodic_return","rainbow_dqn_sweep_config1 - charts/episodic_return__MIN","rainbow_dqn_sweep_config1 - charts/episodic_return__MAX","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX"
"186","33","33","33","-21","-21","-21","29","29","29","-21","-21","-21","15","0","30","-21","-21","-21","16.5","0","33","-21","-21","-21","","","","","",""
"187","","","","","","","","","","","","","","","","","","","","","","","","","16.5","0","33","-21","-21","-21"
"369","18","1","35","-21","-21","-21","16","1","31","-21","-21","-21","16.5","1","32","-21","-21","-21","18","1","35","-21","-21","-21","","","","","",""
"555","19.5","2","37","-21","-21","-21","33","33","33","-21","-21","-21","18","2","34","-21","-21","-21","19.5","2","37","-21","-21","-21","","","","","",""
"740","","","","","","","19","3","35","-21","-21","-21","19.5","3","36","-21","-21","-21","21","3","39","-21","-21","-21","","","","","",""
"744","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","-21","-21","-21"
"930","41","41","41","-21","-21","-21","20.5","4","37","-21","-21","-21","21","4","38","-21","-21","-21","22.5","4","41","-21","-21","-21","","","","","",""
"1117","5","5","5","-21","-21","-21","22","5","39","-21","-21","-21","22.5","5","40","-21","-21","-21","24","5","43","-21","-21","-21","","","","","",""
"1121","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","-21","-21","-21"
"1305","45","45","45","-21","-21","-21","23.5","6","41","-21","-21","-21","24","6","42","-21","-21","-21","25.5","6","45","-21","-21","-21","","","","","",""
"1308","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","-21","-21","-21"
"1489","27","7","47","-21","-21","-21","","","","","","","25.5","7","44","-21","-21","-21","27","7","47","-21","-21","-21","","","","","",""
"1496","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","-21","-21","-21"
"1678","8","8","8","-21","-21","-21","8","8","8","-21","-21","-21","27","8","46","-21","-21","-21","28.5","8","49","-21","-21","-21","","","","","",""
"1686","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","-21","-21","-21"
"1864","30","9","51","-21","-21","-21","47","47","47","-21","-21","-21","28.5","9","48","-21","-21","-21","30","9","51","-21","-21","-21","","","","","",""
"1874","","","","","","","","","","","","","","","","","","","","","","","","","30","9","51","-21","-21","-21"
"2051","31.5","10","53","-21","-21","-21","29.5","10","49","-21","-21","-21","30","10","50","-21","-21","-21","31.5","10","53","-21","-21","-21","","","","","",""
"2057","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","-21","-21","-21"
"2236","11","11","11","-21","-21","-21","31","11","51","-21","-21","-21","31.5","11","52","-21","-21","-21","33","11","55","-21","-21","-21","","","","","",""
"2240","","","","","","","","","","","","","","","","","","","","","","","","","33","11","55","-21","-21","-21"
"2424","34.5","12","57","-21","-21","-21","12","12","12","-21","-21","-21","33","12","54","-21","-21","-21","34.5","12","57","-21","-21","-21","","","","","",""
"2427","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","-21","-21","-21"
"2612","36","13","59","-21","-21","-21","13","13","13","-21","-21","-21","34.5","13","56","-21","-21","-21","36","13","59","-21","-21","-21","59","59","59","-21","-21","-21"
"2797","61","61","61","-21","-21","-21","35.5","14","57","-21","-21","-21","36","14","58","-21","-21","-21","37.5","14","61","-21","-21","-21","","","","","",""
"2802","","","","","","","","","","","","","","","","","","","","","","","","","61","61","61","-21","-21","-21"
"2982","39","15","63","-21","-21","-21","37","15","59","-21","-21","-21","37.5","15","60","-21","-21","-21","39","15","63","-21","-21","-21","","","","","",""
"3169","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","-21","-21","-21"
"3172","65","65","65","-21","-21","-21","16","16","16","-21","-21","-21","39","16","62","-21","-21","-21","40.5","16","65","-21","-21","-21","","","","","",""
"3358","42","17","67","-21","-21","-21","40","17","63","-21","-21","-21","40.5","17","64","-21","-21","-21","42","17","67","-21","-21","-21","","","","","",""
"3544","","","","","","","","","","","","","","","","","","","","","","","","","43.5","18","69","-21","-21","-21"
"3548","","","","","","","41.5","18","65","-21","-21","-21","42","18","66","-21","-21","-21","43.5","18","69","-21","-21","-21","","","","","",""
"3735","45","19","71","-21","-21","-21","67","67","67","-21","-21","-21","43.5","19","68","-21","-21","-21","45","19","71","-21","-21","-21","","","","","",""
"3922","73","73","73","-21","-21","-21","44.5","20","69","-21","-21","-21","45","20","70","-21","-21","-21","46.5","20","73","-21","-21","-21","","","","","",""
"4102","","","","","","","","","","","","","","","","","","","","","","","","","75","75","75","-21","-21","-21"
"4106","21","21","21","-21","-21","-21","21","21","21","-21","-21","-21","46.5","21","72","-21","-21","-21","48","21","75","-21","-21","-21","","","","","",""
"4290","49.5","22","77","-21","-21","-21","73","73","73","-21","-21","-21","48","22","74","-21","-21","-21","49.5","22","77","-21","-21","-21","","","","","",""
"4292","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","-21","-21","-21"
"4475","79","79","79","-21","-21","-21","49","23","75","-21","-21","-21","49.5","23","76","-21","-21","-21","51","23","79","-21","-21","-21","","","","","",""
"4481","","","","","","","","","","","","","","","","","","","","","","","","","51","23","79","-21","-21","-21"
"4664","","","","","","","","","","","","","","","","","","","","","","","","","52.5","24","81","-21","-21","-21"
"4665","52.5","24","81","-21","-21","-21","50.5","24","77","-21","-21","-21","51","24","78","-21","-21","-21","52.5","24","81","-21","-21","-21","","","","","",""
"4851","54","25","83","-21","-21","-21","25","25","25","-21","-21","-21","52.5","25","80","-21","-21","-21","54","25","83","-21","-21","-21","","","","","",""
"5040","26","26","26","-21","-21","-21","81","81","81","-21","-21","-21","54","26","82","-21","-21","-21","55.5","26","85","-21","-21","-21","","","","","",""
"5044","","","","","","","","","","","","","","","","","","","","","","","","","55.5","26","85","-21","-21","-21"
"5230","27","27","27","-21","-21","-21","73.5","27","120","-21","-21","-21","71.5","27","116","-21","-21","-21","72.5","27","118","-21","-21","-21","","","","","",""
"5231","","","","","","","","","","","","","","","","","","","","","","","","","87","87","87","-21","-21","-21"
"5414","","","","","","","","","","","","","","","","","","","","","","","","","74","28","120","-21","-21","-21"
"5420","74","28","120","-21","-21","-21","75","28","122","-21","-21","-21","73","28","118","-21","-21","-21","74","28","120","-21","-21","-21","","","","","",""
"5597","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","-21","-21","-21"
"5606","29","29","29","-21","-21","-21","124","124","124","-21","-21","-21","74.5","29","120","-21","-21","-21","75.5","29","122","-21","-21","-21","","","","","",""
"5781","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","-21","-21","-21"
"5795","30","30","30","-21","-21","-21","105","84","126","-21","-21","-21","103","84","122","-21","-21","-21","77","30","124","-21","-21","-21","","","","","",""
"5969","","","","","","","","","","","","","","","","","","","","","","","","","126","126","126","-21","-21","-21"
"5983","126","126","126","-21","-21","-21","85","85","85","-21","-21","-21","104.5","85","124","-21","-21","-21","78.5","31","126","-21","-21","-21","","","","","",""
"6153","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","-21","-21","-21"
"6172","128","128","128","-21","-21","-21","130","130","130","-21","-21","-21","106","86","126","-21","-21","-21","80","32","128","-21","-21","-21","","","","","",""
"6337","","","","","","","","","","","","","","","","","","","","","","","","","88","88","88","-21","-21","-21"
"6355","108.5","87","130","-21","-21","-21","109.5","87","132","-21","-21","-21","107.5","87","128","-21","-21","-21","108.5","87","130","-21","-21","-21","","","","","",""
"6524","","","","","","","","","","","","","","","","","","","","","","","","","89","89","89","-21","-21","-21"
"6538","110","88","132","-21","-21","-21","88","88","88","-21","-21","-21","109","88","130","-21","-21","-21","110","88","132","-21","-21","-21","","","","","",""
"6725","89","89","89","-21","-21","-21","112.5","89","136","-21","-21","-21","110.5","89","132","-21","-21","-21","111.5","89","134","-21","-21","-21","","","","","",""
