Alliteration:  The repetition of consonant sounds at the beginning of words close to each other. \n e.g  "She sells seashells by the seashore."
Allusion:  A brief and indirect reference to a person, place, thing, or idea of historical, cultural, literary, or political significance. \n e.g  "She opened Pandora’s box with that decision."
Anadiplosis:  The repetition of the last word of one clause or sentence at the beginning of the next. \n e.g  "Fear leads to anger. Anger leads to hate. Hate leads to suffering."
Anagnorisis:  A moment in a play or other work when a character makes a critical discovery. \n e.g  In Othello by William Shakespeare, Othello experiences anagnorisis when he realizes that Desdemona has been faithful to him all along, and that he has been manipulated by Iago. This realization comes too late, as he has already killed Desdemona, leading to his tragic downfall.
Anaphora:  The repetition of a word or phrase at the beginning of successive clauses. \n e.g  "We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields."
Analepsis (Flashback):  A narrative technique that involves a shift in the chronology of the story, taking the narrative back in time to an earlier event. \n e.g  In To Kill a Mockingbird, Harper Lee uses flashbacks to show Scout’s childhood memories.
Antithesis:  A rhetorical device in which two opposite ideas are put together in a sentence to achieve a contrasting effect. \n e.g  "It was the best of times, it was the worst of times."
Apostrophe:  A figure of speech in which the speaker directly addresses an absent or imaginary person, or a personified abstraction. \n e.g  "O Death, where is thy sting?"
Asyndeton:  The omission or absence of a conjunction between parts of a sentence. \n e.g  "I came, I saw, I conquered."
Caesura:  A natural pause or break in a line of poetry, usually near the middle of the line. \n e.g  "To be, or not to be—that is the question."
Chiasmus:  A rhetorical or literary figure in which words, grammatical constructions, or concepts are repeated in reverse order. \n e.g  "Ask not what your country can do for you—ask what you can do for your country."
Connotation:  The associated or secondary meaning of a word in addition to its explicit or primary meaning. \n e.g  The word "home" connotes warmth, comfort, and family, beyond its literal meaning as a place of residence.
Consonance:  The repetition of consonant sounds within or at the end of words in a phrase or sentence. \n e.g  "The lumpy, bumpy road."
Diction:  The choice and use of words and phrases in speech or writing. \n e.g  In The Catcher in the Rye by J.D. Salinger, the protagonist Holden Caulfield uses informal, colloquial diction throughout the novel
Dramatic Irony:  When the audience knows something that the characters do not. \n e.g  In Romeo and Juliet, the audience knows Juliet is alive when Romeo believes she is dead.
Enjambment:  The continuation of a sentence or clause over a line-break. \n e.g  "I think that I shall never see / A poem lovely as a tree."
Epiphany:  A moment of sudden revelation or insight. \n e.g  In To Kill a Mockingbird by Harper Lee, Scout Finch experiences an epiphany near the end of the novel when she finally understands Atticus’s lesson that "you never really understand a person until you consider things from his point of view... until you climb into his skin and walk around in it." This realization occurs as she stands on Boo Radley’s porch and sees her neighborhood from his perspective, leading to a deep understanding of empathy and human complexity.
Epistolary Narrative:  A narrative told through a series of documents, such as letters, diary entries, or newspaper clippings. \n e.g  Bram Stoker’s Dracula is an epistolary novel, told through letters and diary entries.
Epistrophe:  The repetition of a word at the end of successive clauses or sentences. \n e.g  "See no evil, hear no evil, speak no evil."
Focalization:  The perspective through which a narrative is presented, determining what information the reader has access to. \n e.g  In The Great Gatsby, the story is focalized through Nick Carraway, providing insight into his thoughts and perceptions.
Foil:  A character who contrasts with another character, typically the protagonist, to highlight particular qualities of the other character. \n e.g  In Pride and Prejudice, Mr. Darcy and Mr. Wickham serve as foils to each other.
Foreshadowing:  A literary device that gives an advance hint of what is to come later in the story. \n e.g  "The evening was still. Suddenly, a cool breeze started blowing and made a windy night."
Frame Narrative:  A story within a story, where an introductory or main narrative is presented to set the stage for a more emphasized second narrative or a series of shorter stories. \n e.g  Mary Shelley’s Frankenstein uses a frame narrative where the story of Victor Frankenstein is told through the letters of Captain Walton.
Free Indirect Discourse:  A style of third-person narration that blends the narrator’s voice with the thoughts or speech of a character. \n e.g  "She couldn’t believe it. How could he do this to her?"
Hyperbole:  Exaggerated statements or claims not meant to be taken literally. \n e.g  "I’m so hungry I could eat a horse."
Hubris:  Excessive pride or self-confidence, often leading to a character's downfall. \n e.g  In Mary Shelley’s Frankenstein, Victor Frankenstein exhibits hubris when he believes he can surpass the natural limits of human knowledge and power by creating life. His arrogance and ambition to "play God" ultimately lead to the creation of a monster that brings about his own destruction and the suffering of those around him.
Hypophora:  A figure of speech in which the speaker poses a question and then immediately answers it. \n e.g  "What makes a king out of a slave? Courage!"
Imagery:  Descriptive language that appeals to the senses. \n e.g  "The golden yellow sunlight filtered down through the pale new leaves on the oak trees."
In Media Res:  A narrative technique in which a story begins in the middle of the action. \n e.g  Homer’s The Odyssey starts with Odysseus already years into his journey home.
Interior Monologue:  A narrative technique that presents the thoughts of a character as they occur, often in a direct and uninterrupted flow. \n e.g  Virginia Woolf’s Mrs. Dalloway often uses interior monologue to explore the inner lives of the characters.
Irony:  A contrast between expectations and reality. \n e.g  A fire station burns down.
Juxtaposition:  The placement of two or more ideas, characters, actions, settings, phrases, or words side by side for the purpose of developing comparisons and contrasts. \n e.g  "It was the best of times, it was the worst of times..."
Litotes:  A form of understatement in which a sentiment is expressed ironically by negating its contrary. \n e.g  "Not bad" to mean "very good."
Metaphor:  A figure of speech that directly compares two unlike things without using “like” or “as.” \n e.g  "Time is a thief."
Metonymy:  A figure of speech in which one word or phrase is substituted for another with which it is closely associated. \n e.g  "The White House issued a statement" (where "The White House" stands in for the President or the administration).
Motif:  A recurring literary device, subject, or idea in a literary work. \n e.g  The motif of darkness in Macbeth symbolizes evil and the theme of death.
