infinitive,meaning,type,pronoun,conjugation,note
aller,to go,present tense,je,vais,
,,,tu,vas,
,,,il,va,
,,,elle,va,
,,,ils,vont,
,,,elles,vont,
,,present subjunctive,je,aille,
,,,tu,ailles,
,,,il,aille,
,,,elle,aille,
,,,nous,allions,
,,,vous,alliez,
,,,ils,aillent,
,,,elles,aillent,
,,simple future,je,irai,
,,,tu,iras,
,,,il,ira,
,,,elle,ira,
,,,nous,irons,
,,,vous,irez,
,,,ils,iront,
,,,elles,iront,
,,conditional,je,irais,
,,,tu,irais,
,,,il,irait,
,,,elle,irait,
,,,nous,irions,
,,,vous,iriez,
,,,ils,iraient,
,,,elles,iraient,
,,imperative,tu,va,
avoir,to have,present tense,je,ai,
,,,tu,as,
,,,il,a,
,,,elle,a,
,,,nous,avons,
,,,vous,avez,
,,,ils,ont,
,,,elles,ont,
,,present subjunctive,je,aie,
,,,tu,aies,
,,,il,ait,
,,,elle,ait,
,,,nous,ayons,
,,,vous,ayez,
,,,ils,aient,
,,,elles,aient,
,,simple future,je,aurai,
,,,tu,auras,
,,,il,aura,
,,,elle,aura,
,,,nous,aurons,
,,,vous,aurez,
,,,ils,auront,
,,,elles,auront,
,,present conditional,je,aurais,
,,,tu,aurais,
,,,il,aurait,
,,,elle,aurait,
,,,nous,aurions,
,,,vous,auriez,
,,,ils,auraient,
,,,elles,auraient,
,,passe compose,,eu,
,,present participle,,ayant,one of the three verbs (être/avoir/savoir) with irregular present participles
,,imperative,tu,aie,
,,,nous,ayons,
,,,vous,ayez,
être,to be,present tense,je,suis,
,,,tu,es,
,,,il,est,
,,,elle,est,
,,,nous,sommes,
,,,vous,êtes,
,,,ils,sont,
,,,elles,sont,
,,present subjunctive,je,sois,
,,,tu,sois,
,,,il,soit,
,,,elle,soit,
,,,nous,soyons,
,,,vous,soyez,
,,,ils,soient,
,,,elles,soient,
,,imparfait,je,étais,
,,,tu,étais,
,,,il,était,
,,,elle,était,
,,,nous,étions,
,,,vous,étiez,
,,,ils,étaient,
,,,elles,étaient,
,,simple future,je,serai,
,,,tu,seras,
,,,il,sera,
,,,elle,sera,
,,,nous,serons,
,,,vous,serez,
,,,ils,seront,
,,,elles,seront,
,,present participle,,étant,one of the three verbs (être/avoir/savoir) with irregular present participles
,,present conditional,je,serais,
,,,tu,serais,
,,,il,serait,
,,,elle,serait,
,,,nous,serions,
,,,vous,seriez,
,,,ils,seraient,
,,,elles,seraient,
,,passe compose,,été,
,,imperative,tu,sois,
,,,nous,soyons,
,,,vous,soyez,
faire,to do,present tense,il,fait,
,,,elle,fait,
,,,nous,faisons,
,,,vous,faites,
,,,ils,font,
,,,elles,font,
,,present subjunctive,je,fasse,
,,,tu,fasses,
,,,il,fasse,
,,,elle,fasse,
,,,nous,fassions,
,,,vous,fassiez,
,,,ils,fassent,
,,,elles,fassent,
,,simple future,je,ferai,
,,,tu,feras,
,,,il,ferai,
,,,elle,ferai,
,,,nous,ferons,
,,,vous,ferez,
,,,ils,feront,
,,,elles,feront,
,,present conditional,je,ferais,
,,,tu,ferais,
,,,il,ferait,
,,,elle,ferait,
,,,nous,ferions,
,,,vous,feriez,
,,,ils,feraient,
,,,elles,feraient,
,,passe compose,,fait,
