infinitive,meaning,type,pronoun,conjugation,note
tenir,to hold,present tense,je,tiens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,tiens,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,tient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,tient,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,tenons,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,tenez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,tiennent,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,tiennent,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,simple future,je,tiendrai,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,tiendras,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,tiendra,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,tiendra,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,nous,tiendrons,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,vous,tiendrez,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,ils,tiendront,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elles,tiendront,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,conditional,je,tiendrais,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,tu,tiendrais,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,il,tiendrait,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
,,,elle,tiendrait,The plural forms of these verbs have regular stems/obtained by dropping the last two letters of the infinitive. However/their singular forms have unique stems. Note that retenir (to hold back) is conjugated like tenir. Revenir (to come back)/devenir (to become)/and se souvenir (to remember) are conjugated like venir. Don’t forget that the verbs venir/revenir/devenir/and se souvenir are conjugated with the auxiliary verb être in the passé composé.
