infinitive,meaning,type,pronoun,conjugation,note
vouloir,to want,present tense,je,veux,
,,,tu,veux,
,,,il,veut,
,,,elle,veut,
,,,nous,voulons,
,,,vous,voulez,
,,,ils,veulent,
,,,elles,veulent,
,,present subjunctive,je,veuille,
,,,tu,veuilles,
,,,il,veuille,
,,,elle,veuille,
,,,nous,voulions,
,,,vous,vouliez,
,,,ils,veuillent,
,,,elles,veuillent,
,,simple future,je,voudrai,
,,,tu,voudras,
,,,il,voudra,
,,,elle,voudra,
,,,nous,voudrons,
,,,vous,voudrez,
,,,ils,voudront,
,,,elles,voudront,
,,conditional,je,voudrais,
,,,tu,voudrais,
,,,il,voudrait,
,,,elle,voudrais,
,,,nous,voudrions,
,,,vous,voudriez,
,,,ils,voudraient,
,,,elles,voudraient,
,,passe compose,,voulu,
,,imperative,vous,veuillez,
pouvoir,to be able to,present tense,je,peux,
,,,tu,peux,
,,,il,peut,
,,,elle,peut,
,,,nous,pouvons,
,,,vous,pouvez,
,,,ils,peuvent,
,,,elles,peuvent,
,,present subjunctive,je,puisse,
,,,tu,puisses,
,,,il,puisse,
,,,elle,puisse,
,,,nous,puissions,
,,,vous,puissiez,
,,,ils,puissent,
,,,elles,puissent,
,,simple future,je,pourrai,
,,,tu,pourras,
,,,il,pourra,
,,,elle,pourra,
,,,nous,pourrons,
,,,vous,pourrez,
,,,ils,pourront,
,,,elles,pourront,
,,conditional,je,pourrais,
,,,tu,pourrais,
,,,il,pourrait,
,,,elle,pourrais,
,,,nous,pourrions,
,,,vous,pourriez,
,,,ils,pourraient,
,,,elles,pourraient,
,,passe compose,,pu,
