infinitive,meaning,type,pronoun,conjugation,note
savoir,to know a fact,present tense,je,sais,
,,,tu,sais,
,,,il,sait,
,,,elle,sait,
,,,nous,savons,
,,,vous,savez,
,,,ils,savent,
,,,elles,savent,
,,present participle,,sachant,one of the three verbs (être/avoir/savoir) with irregular present participles
,,present subjunctive,je,sache,
,,,tu,saches,
,,,il,sache,
,,,elle,sache,
,,,nous,sachions,
,,,vous,sachiez,
,,,ils,sachent,
,,,elles,sachent,
,,simple future,je,saurai,
,,,tu,sauras,
,,,il,saura,
,,,elle,saura,
,,,nous,saurons,
,,,vous,saurez,
,,,ils,sauront,
,,,elles,sauront,
,,conditional,je,saurais,
,,,tu,saurais,
,,,il,saurait,
,,,elle,saurais,
,,,nous,saurions,
,,,vous,sauriez,
,,,ils,sauraient,
,,,elles,sauraient,
,,passe compose,,su,
connaître,to know/to be familiar with,present tense,je,connais,
,,,tu,connais,
,,,nous,connaissons,
,,,vous,connaissez,
,,,ils,connaissent,
,,,elles,connaissent,
,,passe compose,,connu,
