infinitive,meaning,type,pronoun,conjugation,note
commencer,to start/to begin,present tense,nous,commençons,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,imparfait,je,commençais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,tu,commençais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,il,commençait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elle,commençait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,ils,commençaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elles,commençaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
annoncer,to announce,present tense,nous,annonçons,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,imparfait,je,annonçais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,tu,annonçais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,il,annonçait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elle,annonçait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,ils,annonçaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elles,annonçaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
avancer,to advance,present tense,nous,avançons,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,imparfait,je,avançais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,tu,avançais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,il,avançait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elle,avançait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,ils,avançaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elles,avançaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
prononcer,to pronounce,present tense,nous,prononçons,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,imparfait,je,prononçais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,tu,prononçais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,il,prononçait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elle,prononçait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,ils,prononçaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elles,prononçaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
renoncer,to give up,present tense,nous,renonçons,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,imparfait,je,renonçais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,tu,renonçais,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,il,renonçait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elle,renonçait,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,ils,renonçaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
,,,elles,renonçaient,The letter c in the stem of these verbs gains a cedilla (-ç-) before the letters a or o in conjugated forms. This serves to retain the soft c sound (equivalent to the s sound). The endings of these verbs are regular.
changer,to change,present tense,nous,changeons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,changeais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,changeais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,changeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,changeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,changeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,changeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
corriger,to corrige,present tense,nous,corrigeons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,corrigeais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,corrigeais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,corrigeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,corrigeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,corrigeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,corrigeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
manger,to mange,present tense,nous,mangeons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,mangeais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,mangeais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,mangeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,mangeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,mangeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,mangeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
nager,to swim,present tense,nous,nageons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,nageais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,nageais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,nageait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,nageait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,nageaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,nageaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
neiger,to neige,present tense,nous,neigeons,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,imparfait,je,neigeais,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,tu,neigeais ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,il,neigeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elle,neigeait ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,ils,neigeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
,,,elles,neigeaient ,Verbs ending in -ger gain a silent -e- after the letter g and before the letters a or o to retain the soft g sound. The endings of these verbs are regular.
