infinitive,meaning,type,pronoun,conjugation,note
voir,to see,present tense,nous,voyons,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,vous,voyez,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,ils,voient,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,elles,voient,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,passe compose,,vu,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,simple future,je,verrai,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,tu,verras,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,il,verra,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,elle,verra,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,nous,verrons,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,vous,verrez,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,ils,verront,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,elles,verront,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,conditional,je,verrais,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,tu,verrais,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,il,verrait,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,elle,verrait,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
,,,nous,verrions,These verbs are spelled with -ois/ -ois/ -oit in the singular forms (je/ tu/ il/ elle/ on) of the present indicative. However note that their plural forms (nous/ vous/ ils/ elles) differ. They also have similar past participles.
