accompagner,to accompany to help
aider,to help
aimer,to like/to love
ajouter,to add
apporter,to bring
bavarder,to chat
briller,to shine
brosser,to brush
cacher,to hide
cesser,to cease
chanter,to sing
chercher,to look for
commander,to order
compter,to count
coûter,to cost
danser,to dance
déjeuner,to have lunch
demander,to ask
désirer,to desire
dîner,to have dinner
donner,to give
écouter,to listen
embrasser,to kiss
entrer,to enter
épouser,to marry
étudier,to study
expliquer,to explain
féliciter,to congratulate
fermer,to close
jouer,to play
laver,to wash
manquer,to miss
marcher,to walk
mériter,to deserve
monter,to go up
montrer,to show
oublier,to forget
pardonner,to forgive
parler,to speak
passer,to pass by
peigner,to comb
penser,to think
porter,to carry
présenter,to present
prêter,to lend
quitter,to leave
raconter,to tell
regretter,to regret
remercier,to thank
rencontrer,to meet
rester,to stay
souhaiter,to wish
téléphoner,to call
terminer,to finish
tomber,to fall
travailler,to work
tromper,to deceive
trouver,to find
