School : Team Name ( if applicable ),RANKING,,,,,,,,,,,,,
South Pasadena High School SPARK,5,,,,,,,,,,,,,
ROBO - TECH Rangers,6,,,,,,,,,,,,,
Keith Grammar School impROVise,11,,,,,,,,,,,,,
Seattle Academy Blueshift,9,,,,,,,,,,,,,
CMA Secondary School CMAss Robotics Team,2,,,,,,,,,,,,,
Macau Anglican College Delta,4,,,,,,,,,,,,,
Beijing No. 35 High School Team of Zhicheng,12,,,,,,,,,,,,,
The Center for Robotics Development - Robocenter,1,,,,,,,,,,,,,
Singapore American School One Degree North,8,,,,,,,,,,,,,
Valley Christian High School WarriorTIDES,3,,,,,,,,,,,,,
Bahceshir College High School Cosmos Gravity,10,,,,,,,,,,,,,
X Academy Team Hephaestus,7,,,,,,,,,,,,,
