Maximum base points available,RANKING
Whale Tech,1
Over - Defined,2
Hephaestus Robotics,3
Valley Christian Warrior Tides,4
Geneseas,5
MUREX,6
FAU HS Night Owls,7
Cougar Robotics,8
Sunk Robotics,9
PVIT,10
Triton,11
Brother Rice Robotics,12
Achelous,13
UR2,14
Red Sea Robotics,15
SeaCows,16
Phoenix Robotics,17
Overflow Robotics,18
Shark Tech,19
The Rays,20
GEARS,21
Coral Crusaders,22
Robert College Makers,23
Mariner Mayhem,24
KTSCSS,25
R'Mateys,26
Whirlpool Robotics,27.5
Stingrays,27.5
HHM ROV,29
Crubotics,30
Vortex,31
Blue Lobster,32
Navitechers,33
Mintlaw ROV,34
Robosharks,35
Aquabot Technicians,36
Deep Sea Tactics,37
